ZIP Code,	Latitude,	Longitude
01473,	42.5580692,	-71.8927076
01474,	42.6675405,	-71.7503855
01478,	43.14123319999999,	-3.1478514
01479,	43.0459356,	-3.0876783
01480,	46.0108968,	4.849817
01502,	6.4380378,	100.1892365
01504,	42.0418415,	-71.53678599999999
01508,	42.147218,	-71.98943
01509,	42.16999999999999,	-71.97999999999999
01511,	-23.5600271,	-46.6325243
01512,	-23.553653,	-46.6313181
01513,	-23.557227,	-46.6313181
01514,	-23.5559747,	-46.6276997
01515,	42.2056874,	-72.04089060000001
01516,	42.0579365,	-71.7503855
01517,	42.47,	-71.84
01518,	42.1233113,	-72.1238412
01519,	42.1992877,	-71.6792008
01520,	42.341032,	-71.845274
01521,	42.0580507,	-72.16530759999999
01522,	42.3830177,	-71.8689917
01523,	42.4850811,	-71.6792008
01524,	42.2572094,	-71.9164217
01525,	42.0973646,	-71.6448526
01526,	42.0940675,	-71.747883
01527,	42.1805434,	-71.7978333
01528,	-23.5643136,	-46.6276997
01529,	42.03436689999999,	-71.57832979999999
01530,	60.3127867,	24.9592885
01531,	42.3298553,	-72.12976530000002
01532,	42.3197933,	-71.6423322
01533,	-23.5720325,	-46.6379525
01534,	42.1398758,	-71.6376694
01536,	42.2356407,	-71.69699849999999
01545,	42.2834603,	-71.726659
01548,	-23.5783604,	-46.61322879999999
01549,	19.357388,	-99.2456483
01550,	42.0749668,	-72.03368569999999
01551,	-23.5712139,	-46.61322879999999
01552,	-23.5699607,	-46.6096118
01553,	-23.5739204,	-46.609009
01555,	37.3066364,	35.8825144
01558,	51.2884296,	13.5441928
01560,	42.1744247,	-71.6732681
01561,	42.4431846,	-71.6870936
01562,	42.2190542,	-71.97569899999999
01564,	42.4551075,	-71.785972
01566,	42.1082733,	-72.0787672
01568,	42.1684252,	-71.6080009
01569,	42.0499476,	-71.6436028
01570,	42.0542919,	-71.845274
01571,	42.0582113,	-71.9282781
01576,	6.4428436,	100.1951907
01580,	46.2472349,	5.549206100000001
01581,	42.2638905,	-71.6080009
01583,	42.37897359999999,	-71.785972
01585,	42.219002,	-72.1534606
01586,	42.16999999999999,	-71.8
01587,	51.3037968,	13.2670518
01588,	42.1170567,	-71.6732681
01589,	51.2975568,	13.3095039
01590,	42.14213729999999,	-71.7385225
01591,	51.31704939999999,	13.2520646
01594,	51.2606788,	13.2323241
01596,	6.452176499999999,	100.2046482
01602,	42.2704584,	-71.85120359999999
01603,	42.23987959999999,	-71.8393443
01604,	42.2530794,	-71.7741103
01605,	42.279853,	-71.7919027
01609,	42.2971508,	-71.8393443
01615,	42.26,	-71.8
01616,	51.3639725,	13.2150623
01619,	51.356403,	13.3251086
01620,	60.2768463,	24.8523873
01630,	46.19827129999999,	5.9500699
01645,	19.3583038,	-99.2276401
01653,	42.29223169999999,	-71.783748
01662,	51.1632952,	13.4751521
01665,	51.0954089,	13.4641847
01670,	60.2833095,	24.8742656
01689,	51.1810234,	13.5509434
017 06,	49.1430087,	18.3872776
017 07,	49.0959319,	18.4666702
01700,	45.8440324,	4.9615825
01701,	42.3240042,	-71.4536835
01702,	42.2781628,	-71.4358733
01703,	42.3,	-71.42999999999999
01704,	42.2799454,	-71.4199677
01705,	42.33,	-71.4
01708,	19.3437166,	-99.2285058
01710,	46.2351106,	5.9800741
01718,	42.5204439,	-71.4295653
01719,	42.4955325,	-71.51304449999999
01720,	42.4836453,	-71.4418101
01721,	42.2592911,	-71.46555649999999
01723,	51.0502972,	13.5362057
01729,	19.3402778,	-99.2418386
01748,	42.2254318,	-71.5486562
01749,	42.38938479999999,	-71.560526
01756,	42.0840678,	-71.560526
01757,	42.141566,	-71.5192361
01759,	19.3512923,	-99.2134442
01772,	42.3092759,	-71.53678599999999
01774,	50.87291039999999,	13.526344
01780,	19.3392293,	-99.21898379999999
01799,	19.3443488,	-99.2196762
018 02,	49.19562879999999,	18.3536219
018 61,	49.050186,	18.3479481
01800,	19.3292597,	-99.2702429
01801,	42.4884618,	-71.13296849999999
01803,	42.50057229999999,	-71.20426189999999
01805,	42.4883003,	-71.2015991
01825,	50.8618191,	13.8521893
01835,	42.7508871,	-71.0913748
01840,	42.7073383,	-71.1611903
01841,	42.7139972,	-71.1656462
01842,	42.706923,	-71.1654471
01847,	50.9891752,	13.9963251
01851,	42.6325727,	-71.3408707
01852,	42.6303002,	-71.2992993
01854,	42.6460285,	-71.3646236
01857,	19.3167786,	-99.26955
01862,	42.5792379,	-71.3052383
01863,	42.6310917,	-71.38837509999999
01864,	42.5750833,	-71.0854325
01865,	42.5334722,	-71.262934
01866,	42.527453,	-71.225301
01867,	42.5412689,	-71.10920120000002
01870,	19.3378222,	-99.2466874
01876,	42.6182538,	-71.2280234
01877,	51.1344289,	14.2020056
01879,	42.6691846,	-71.4180622
01880,	42.50101230000001,	-71.067605
01885,	42.7071748,	-71.0638544
01886,	42.5899487,	-71.4536835
01887,	42.5682996,	-71.15673439999999
01888,	42.51,	-71.13000000000001
01889,	42.573519,	-71.1138491
01890,	42.4488116,	-71.150793
01896,	51.1905921,	14.0051025
01901,	42.4602394,	-70.94724959999999
